Setagaya,917486
Koganei,122306
Mitaka,188461
Choufu,237054
Komae,83257
Suginami,574118
Nerima,739435
Musashino,146871
Nishitokyo,205125
Kokutachi,76280
Fuchuu,260232
Kokubunnji,125170
Kiyose,74636
Higashikurume,116916
Higashiyamato,85301
Higashimurayama,151255
Kodaira,194869
Akishima,113397
Hino,186346
Tachikawa,184090
Mizuho,32330
Fussa,57617
Musashimurayama,72382
Machida,428821
Inagi,91540
Tama,148823
Hinode,16958
Hamura,54326
Hachiouji,579355
Okutama,4750
Ome,133535
Akiruno,79292
Hinohara,2003
Nakano,335234
Meguro,281474
Shibuya,229671
Shinjuku,348452
Toshima,327
Itabashi,571357
Bunkyou,226114
Chiyoda,65942
Taitou,202431
Arakawa,217146
Sumida,274896
Katsushika,464550
Kita,353908
Adachi,691298
Ota,734493
Shinagawa,401704
Minato,260379
Chuou,168361
Koto,521835
Edogawa,700079
